OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PSYCHE,2023-157A,2023-10-13T14:28:09.729696,15.29658471,.04672,30.0000,47.5426,123.5100,359.9800,0,U,58049,999,0,0,.1209E-4,-.37902E-5
FALCON HEAVY R/B,2023-157B,2023-10-13T14:28:09.729696,15.29658471,.04672,30.0000,47.5426,123.5100,359.9800,0,U,58050,999,0,0,.1209E-4,-.37902E-5
STARLINK-30568,2023-158A,2023-11-09T14:00:01.000224,15.54434809,.0001807,42.9995,341.6491,284.4474,116.8989,0,U,58051,999,530,-.26539E-1,-.1610816E-1,0
STARLINK-30575,2023-158B,2023-11-06T10:30:39.041568,15.68209829,.0011431,42.9989,0.2935,303.7135,56.2642,0,U,58052,999,493,-.35962E-2,-.396821E-2,0
STARLINK-30577,2023-158C,2023-11-09T14:00:01.000224,15.54425539,.0001665,42.9994,341.6431,283.7861,120.4831,0,U,58053,999,546,-.26579E-1,-.1612437E-1,0
STARLINK-30566,2023-158D,2023-11-09T14:00:01.000224,15.54423596,.0001765,42.9995,341.6412,282.5285,122.3241,0,U,58054,999,546,-.26583E-1,-.1612599E-1,0
STARLINK-30544,2023-158E,2023-11-09T14:00:01.000224,15.54415050,.0001756,42.9996,341.6342,284.3729,122.8173,0,U,58055,999,541,-.26578E-1,-.1611862E-1,0
STARLINK-30553,2023-158F,2023-11-09T14:00:01.000224,15.54415890,.0001763,42.9994,341.6352,283.6284,122.9780,0,U,58056,999,546,-.26548E-1,-.1610271E-1,0
STARLINK-30541,2023-158G,2023-11-09T14:00:01.000224,15.54421271,.0001732,42.9994,341.6400,284.5567,120.8812,0,U,58057,999,546,-.26573E-1,-.1611912E-1,0
STARLINK-30573,2023-158H,2023-11-09T14:00:01.000224,15.54412505,.0001667,42.9994,341.6377,290.4626,115.5618,0,U,58058,999,541,-.26412E-1,-.1602607E-1,0
STARLINK-30582,2023-158J,2023-11-09T18:00:00.999648,15.53866655,.0001313,42.9997,340.6513,265.3654,355.9945,0,U,58059,999,544,-.28751E-1,-.1698358E-1,0
STARLINK-30558,2023-158K,2023-11-09T14:00:01.000224,15.54432080,.0001705,42.9995,341.6482,282.3488,120.1670,0,U,58060,999,546,-.26584E-1,-.1613081E-1,0
STARLINK-30579,2023-158L,2023-11-09T10:37:48.303552,15.93148814,.0003694,42.9976,340.6261,61.3324,290.8928,0,U,58061,999,541,.14676E-2,.5341E-2,.12057E-3
STARLINK-30588,2023-158M,2023-11-09T14:00:01.000224,15.54404871,.0001596,42.9995,341.6265,286.4323,124.2640,0,U,58062,999,547,-.26655E-1,-.1615444E-1,0
STARLINK-30585,2023-158N,2023-11-09T18:00:00.999648,15.53859480,.0001495,42.9998,340.6473,273.4343,350.2568,0,U,58063,999,544,-.2877E-1,-.1699053E-1,0
STARLINK-30587,2023-158P,2023-11-09T14:00:01.000224,15.54411709,.0001355,42.9995,341.6321,284.1896,124.7544,0,U,58064,999,531,-.26675E-1,-.1616791E-1,0
STARLINK-30576,2023-158Q,2023-11-09T14:00:01.000224,15.54429591,.000165,42.9995,341.6477,287.1901,115.9092,0,U,58065,999,536,-.26575E-1,-.1612428E-1,0
STARLINK-30571,2023-158R,2023-11-09T14:00:01.000224,15.54430239,.0001513,42.9994,341.6456,279.4336,124.2511,0,U,58066,999,547,-.2666E-1,-.1617043E-1,0
STARLINK-30567,2023-158S,2023-11-09T14:00:01.000224,15.54407102,.0001583,42.9993,341.6320,285.1338,124.3949,0,U,58067,999,546,-.26595E-1,-.1612282E-1,0
STARLINK-30569,2023-158T,2023-11-09T18:00:00.999648,15.53854631,.0001426,42.9996,340.6444,270.6362,354.2218,0,U,58068,999,544,-.2876E-1,-.1698218E-1,0
STARLINK-30480,2023-158U,2023-11-09T18:00:00.999648,15.53714617,.0001272,42.9996,340.6418,300.1868,325.4482,0,U,58069,999,544,-.28074E-1,-.1654122E-1,0
STARLINK-30532,2023-158V,2023-11-09T18:00:00.999648,15.53699730,.0001354,42.9996,340.6398,246.4345,19.6828,0,U,58070,999,544,-.2564E-1,-.1498587E-1,0
STARLINK-30513,2023-158W,2023-11-09T18:00:00.999648,15.66453067,.0002799,42.9998,340.4701,236.7971,98.5165,0,U,58071,999,544,.27855E-2,.309424E-2,0
STARLINK-30506,2023-158X,2023-11-09T18:00:00.999648,15.53683865,.0001538,42.9996,340.6361,287.4410,339.9111,0,U,58072,999,528,-.26802E-1,-.1585001E-1,0
YUNHAI 1-04,2023-159A,2023-11-09T16:14:24.532512,14.33110517,.0000677,98.5883,336.4292,158.8675,201.2537,0,U,58073,999,367,.22253E-3,.566E-5,0
CZ-2D R/B,2023-159B,2023-11-09T13:51:19.825920,14.28652477,.0099464,98.5165,335.8011,207.0013,152.5974,0,U,58074,999,364,.13388E-3,.312E-5,0
STARLINK-30604,2023-160A,2023-11-09T14:00:01.000224,15.57122268,.0001403,42.9994,35.0389,282.1794,328.8287,0,U,58075,999,477,-.24688E-1,-.1651926E-1,0
STARLINK-30500,2023-160B,2023-11-09T14:00:01.000224,15.57118376,.0001178,42.9994,35.0382,280.5619,331.0491,0,U,58076,999,477,-.2461E-1,-.1646904E-1,0
STARLINK-30613,2023-160C,2023-11-06T23:31:51.815712,15.66851399,.0003649,42.9994,50.5106,347.0237,13.0535,0,U,58077,999,436,-.77379E-2,-.768493E-2,0
STARLINK-30597,2023-160D,2023-11-09T14:00:01.000224,15.57115167,.0001011,42.9994,35.0352,279.5494,333.2641,0,U,58078,999,483,-.24602E-1,-.1646164E-1,0
STARLINK-30598,2023-160E,2023-11-09T14:00:01.000224,15.57114346,.0001301,42.9994,35.0330,282.0306,331.3834,0,U,58079,999,477,-.24637E-1,-.1648363E-1,0
STARLINK-30603,2023-160F,2023-11-09T14:00:01.000224,15.57112902,.0001139,42.9994,35.0319,277.6028,336.4134,0,U,58080,999,477,-.24632E-1,-.1647903E-1,0
STARLINK-30602,2023-160G,2023-11-09T14:00:01.000224,15.57112327,.0001469,42.9994,35.0284,274.9074,340.3096,0,U,58081,999,482,-.24679E-1,-.165086E-1,0
STARLINK-30610,2023-160H,2023-11-09T14:00:01.000224,15.57112756,.0001335,42.9994,35.0306,279.1639,335.4523,0,U,58082,999,481,-.24667E-1,-.1650095E-1,0
STARLINK-30551,2023-160J,2023-11-09T14:00:01.000224,15.57109322,.0001146,42.9994,35.0271,284.1567,331.6623,0,U,58083,999,481,-.24648E-1,-.1648668E-1,0
