x1	x2	y1	y2
1	1	3.6	12.96
1	2	7.7	59.29
1	3	11.8	139.24
1	4	15.9	252.81
1	5	20.0	400.0
1	6	24.1	580.81
1	7	28.2	795.24
1	8	32.3	1043.29
1	9	36.4	1324.96
1	10	40.5	1640.25
2	1	4.4	19.36
2	2	10.8	116.64
2	3	17.2	295.84
2	4	23.6	556.96
2	5	30.0	900.0
2	6	36.4	1324.96
2	7	42.8	1831.84
2	8	49.2	2420.64
2	9	55.6	3091.36
2	10	62.0	3844.0
3	1	4.2	17.64
3	2	12.9	166.41
3	3	21.6	466.56
3	4	30.3	918.09
3	5	39.0	1521.0
3	6	47.7	2275.29
3	7	56.4	3180.96
3	8	65.1	4238.01
3	9	73.8	5446.44
3	10	82.5	6806.25
4	1	3.0	9.0
4	2	14.0	196.0
4	3	25.0	625.0
4	4	36.0	1296.0
4	5	47.0	2209.0
4	6	58.0	3364.0
4	7	69.0	4761.0
4	8	80.0	6400.0
4	9	91.0	8281.0
4	10	102.0	10404.0
5	1	0.8	0.64
5	2	14.1	198.81
5	3	27.4	750.76
5	4	40.7	1656.49
5	5	54.0	2916.0
5	6	67.3	4529.29
5	7	80.6	6496.36
5	8	93.9	8817.21
5	9	107.2	11491.84
5	10	120.5	14520.25
6	1	-2.4	5.76
6	2	13.2	174.24
6	3	28.8	829.44
6	4	44.4	1971.36
6	5	60.0	3600.0
6	6	75.6	5715.36
6	7	91.2	8317.44
6	8	106.8	11406.24
6	9	122.4	14981.76
6	10	138.0	19044.0
7	1	-6.6	43.56
7	2	11.3	127.69
7	3	29.2	852.64
7	4	47.1	2218.41
7	5	65.0	4225.0
7	6	82.9	6872.41
7	7	100.8	10160.64
7	8	118.7	14089.69
7	9	136.6	18659.56
7	10	154.5	23870.25
8	1	-11.8	139.24
8	2	8.4	70.56
8	3	28.6	817.96
8	4	48.8	2381.44
8	5	69.0	4761.0
8	6	89.2	7956.64
8	7	109.4	11968.36
8	8	129.6	16796.16
8	9	149.8	22440.04
8	10	170.0	28900.0
9	1	-18.0	324.0
9	2	4.5	20.25
9	3	27.0	729.0
9	4	49.5	2450.25
9	5	72.0	5184.0
9	6	94.5	8930.25
9	7	117.0	13689.0
9	8	139.5	19460.25
9	9	162.0	26244.0
9	10	184.5	34040.25
10	1	-25.2	635.04
10	2	-0.4	0.16
10	3	24.4	595.36
10	4	49.2	2420.64
10	5	74.0	5476.0
10	6	98.8	9761.44
10	7	123.6	15276.96
10	8	148.4	22022.56
10	9	173.2	29998.24
10	10	198.0	39204.0
