x1	x2	y1	y2
1	1	3.5999999999999996	12.959999999999997
1	2	7.699999999999999	59.28999999999999
1	3	11.8	139.24
1	4	15.899999999999999	252.80999999999995
1	5	20.0	400.0
1	6	24.1	580.8100000000001
1	7	28.199999999999996	795.2399999999998
1	8	32.3	1043.2899999999997
1	9	36.4	1324.9599999999998
1	10	40.5	1640.25
2	1	4.3999999999999995	19.359999999999996
2	2	10.799999999999999	116.63999999999997
2	3	17.2	295.84
2	4	23.599999999999998	556.9599999999999
2	5	30.0	900.0
2	6	36.4	1324.9599999999998
2	7	42.8	1831.8399999999997
2	8	49.199999999999996	2420.6399999999994
2	9	55.599999999999994	3091.359999999999
2	10	62.0	3844.0
3	1	4.199999999999999	17.639999999999993
3	2	12.899999999999999	166.40999999999997
3	3	21.6	466.56000000000006
3	4	30.299999999999997	918.0899999999998
3	5	39.0	1521.0
3	6	47.7	2275.2900000000004
3	7	56.4	3180.96
3	8	65.1	4238.009999999999
3	9	73.8	5446.44
3	10	82.5	6806.25
4	1	2.999999999999999	8.999999999999995
4	2	13.999999999999998	195.99999999999994
4	3	25.0	625.0
4	4	36.0	1296.0
4	5	47.0	2209.0
4	6	58.0	3364.0
4	7	68.99999999999999	4760.999999999998
4	8	80.0	6400.0
4	9	91.0	8281.0
4	10	102.0	10404.0
5	1	0.8	0.6400000000000001
5	2	14.1	198.81
5	3	27.4	750.7599999999999
5	4	40.7	1656.4900000000002
5	5	54.0	2916.0
5	6	67.3	4529.29
5	7	80.6	6496.359999999999
5	8	93.9	8817.210000000001
5	9	107.2	11491.84
5	10	120.5	14520.25
6	1	-2.4000000000000012	5.760000000000006
6	2	13.199999999999998	174.23999999999992
6	3	28.799999999999997	829.4399999999998
6	4	44.4	1971.36
6	5	60.0	3600.0
6	6	75.6	5715.359999999999
6	7	91.19999999999999	8317.439999999999
6	8	106.8	11406.24
6	9	122.39999999999999	14981.759999999998
6	10	138.0	19044.0
7	1	-6.600000000000002	43.56000000000003
7	2	11.299999999999995	127.6899999999999
7	3	29.199999999999996	852.6399999999998
7	4	47.099999999999994	2218.4099999999994
7	5	64.99999999999999	4224.999999999998
7	6	82.89999999999999	6872.409999999999
7	7	100.79999999999998	10160.639999999996
7	8	118.69999999999999	14089.689999999997
7	9	136.59999999999997	18659.55999999999
7	10	154.49999999999997	23870.249999999993
8	1	-11.8	139.24
8	2	8.399999999999997	70.55999999999995
8	3	28.599999999999994	817.9599999999997
8	4	48.8	2381.4399999999996
8	5	69.0	4761.0
8	6	89.19999999999999	7956.639999999998
8	7	109.39999999999998	11968.359999999995
8	8	129.6	16796.16
8	9	149.79999999999998	22440.039999999994
8	10	170.0	28900.0
9	1	-18.0	324.0
9	2	4.499999999999998	20.249999999999986
9	3	26.999999999999993	728.9999999999997
9	4	49.5	2450.25
9	5	72.0	5184.0
9	6	94.49999999999999	8930.249999999998
9	7	117.0	13689.0
9	8	139.5	19460.25
9	9	161.99999999999997	26243.99999999999
9	10	184.5	34040.25
10	1	-25.2	635.04
10	2	-0.3999999999999999	0.15999999999999992
10	3	24.4	595.3599999999999
10	4	49.2	2420.6400000000003
10	5	74.0	5476.0
10	6	98.8	9761.439999999999
10	7	123.6	15276.96
10	8	148.4	22022.56
10	9	173.2	29998.239999999994
10	10	198.0	39204.0
